segment	variable	group	num
nMF	subs_device_lifetime_per_circle_d168_top_1	4.0	169104
nMF	subs_device_lifetime_per_circle_d168_top_1	5.0	166993
nMF	subs_device_lifetime_per_circle_d168_top_1	6.0	168791
nMF	subs_device_lifetime_per_circle_d168_top_1	7.0	179499
nMF	subs_device_lifetime_per_circle_d168_top_1	8.0	164431
nMF	subs_device_lifetime_per_circle_d168_top_1	9.0	155676
nMF	subs_lifetime_days_count_circle_d168_avg_10_per	0.0	420113
nMF	subs_lifetime_days_count_circle_d168_avg_10_per	1.0	149225
nMF	subs_lifetime_days_count_circle_d168_avg_10_per	2.0	172230
nMF	subs_lifetime_days_count_circle_d168_avg_10_per	3.0	159048
nMF	subs_lifetime_days_count_circle_d168_avg_10_per	4.0	159520
nMF	subs_lifetime_days_count_circle_d168_avg_10_per	5.0	177123
nMF	subs_lifetime_days_count_circle_d168_avg_10_per	6.0	146964
nMF	subs_lifetime_days_count_circle_d168_avg_10_per	7.0	170617
nMF	subs_lifetime_days_count_circle_d168_avg_10_per	8.0	158388
nMF	subs_lifetime_days_count_circle_d168_avg_10_per	9.0	150716
nMF	subs_lifetime_days_count_per_circle_d168_top_1	0.0	359516
nMF	subs_lifetime_days_count_per_circle_d168_top_1	1.0	162408
nMF	subs_lifetime_days_count_per_circle_d168_top_1	2.0	172696
nMF	subs_lifetime_days_count_per_circle_d168_top_1	3.0	166208
nMF	subs_lifetime_days_count_per_circle_d168_top_1	4.0	169636
nMF	subs_lifetime_days_count_per_circle_d168_top_1	5.0	177145
nMF	subs_lifetime_days_count_per_circle_d168_top_1	6.0	166417
nMF	subs_lifetime_days_count_per_circle_d168_top_1	7.0	171449
nMF	subs_lifetime_days_count_per_circle_d168_top_1	8.0	161872
nMF	subs_lifetime_days_count_per_circle_d168_top_1	9.0	156597
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	0.0	408793
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	1.0	161972
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	2.0	166867
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	3.0	170437
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	4.0	165146
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	5.0	152330
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	6.0	157508
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	7.0	178311
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	8.0	145660
nMF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	9.0	156920
